;authors;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
1;gordon ej;1;2;1;3;1;4;4;3;3;6;2;30;1;1.56;2.73;6
2;reese pp;2;1;1;2;5;3;2;1;4;1;4;26;1;1.43;2.36;5
3;ross lf;3;0;3;0;0;6;4;0;4;3;1;24;0;2.09;2.18;6
4;chapman j;1;1;13;1;2;0;1;0;0;0;0;19;0;3.8;1.73;13
5;segev dl;1;0;2;0;1;1;1;2;4;3;4;19;0;1.42;1.73;4
6;petrini c;1;1;1;4;0;2;1;3;1;4;1;19;0;1.35;1.73;4
7;lavee j;0;2;3;2;2;0;5;1;1;1;1;18;0;1.43;1.64;5
8;ladin k;1;1;0;2;0;1;0;4;2;4;3;18;0;1.5;1.64;4
9;delmonico fl;1;1;3;1;2;4;3;1;1;0;1;18;0;1.21;1.64;4
10;dominguez-gil b;0;1;0;0;1;3;3;2;1;4;3;18;0;1.43;1.64;4
11;caplan al;1;3;2;3;0;1;0;2;0;4;1;17;0;1.37;1.55;4
12;weimar w;0;1;1;1;1;5;1;3;2;1;0;16;0;1.44;1.45;5
13;caplan a;1;1;0;0;3;3;1;3;1;0;3;16;0;1.29;1.45;3
14;fortin mc;2;0;0;2;2;0;0;3;1;4;2;16;0;1.37;1.45;4
15;bramstedt ka;3;0;2;1;1;1;2;3;1;1;1;16;0;0.93;1.45;3
16;gardiner d;1;0;0;0;0;1;3;2;4;1;3;15;0;1.43;1.36;4
17;thistlethwaite jr jr;1;0;3;0;0;4;4;0;2;0;0;14;0;1.68;1.27;4
18;shaw d;0;0;0;0;1;2;3;3;3;2;0;14;0;1.35;1.27;3
19;harden p;0;0;13;0;0;0;0;0;0;0;0;13;0;3.92;1.18;13
20;testa g;1;1;2;0;4;0;0;2;0;0;3;13;0;1.4;1.18;4
21;shemie sd;2;0;1;0;1;1;1;3;1;2;1;13;0;0.87;1.18;3
22;van assche k;0;0;0;3;3;2;3;0;1;1;0;13;0;1.33;1.18;3
23;hanto dw;1;1;0;2;0;0;0;3;2;3;0;12;0;1.22;1.09;3
24;gill js;1;0;2;1;2;1;1;3;0;0;0;11;0;1.0;1.0;3
25;craig jc;0;0;0;3;3;4;0;1;0;0;0;11;0;1.55;1.0;4
26;danovitch gm;0;1;1;1;2;1;2;1;0;0;2;11;0;0.77;1.0;2
27;sharif a;0;0;1;1;1;1;2;2;1;0;2;11;0;0.77;1.0;2
28;chapman jr;1;1;0;2;2;3;0;1;0;1;0;11;0;1.0;1.0;3
29;miller fg;2;0;2;1;2;1;1;2;0;0;0;11;0;0.89;1.0;2
30;parent b;0;0;0;0;0;0;1;3;2;2;3;11;0;1.26;1.0;3
31;capron am;1;0;0;1;1;1;3;0;1;1;1;10;0;0.83;0.91;3
32;dalle ave al;0;0;0;0;1;0;5;2;0;1;1;10;0;1.51;0.91;5
33;bernat jl;2;0;1;0;1;0;2;1;2;0;1;10;0;0.83;0.91;2
34;martin de;0;0;0;0;0;2;3;2;1;1;1;10;0;1.04;0.91;3
35;abt pl;1;0;0;0;2;0;2;1;3;1;0;10;0;1.04;0.91;3
36;wong g;0;0;0;3;3;3;0;1;0;0;0;10;0;1.38;0.91;3
37;henderson ml;0;0;1;0;0;1;0;3;3;0;2;10;0;1.22;0.91;3
38;parker wf;0;0;0;0;0;0;1;2;3;1;3;10;0;1.22;0.91;3
39;padela ai;0;0;0;1;2;0;0;0;3;0;3;9;0;1.25;0.82;3
