;authors;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
1;gordon ej;0.005494505494505495;0.012658227848101266;0.005319148936170213;0.02027027027027027;0.005747126436781609;0.025157232704402517;0.01951219512195122;0.016129032258064516;0.012448132780082987;0.02564102564102564;0.01282051282051282;0.14837689749135574;0.005319148936170213;0.007797667881555922;0.014837689749135574;0.02564102564102564
2;reese pp;0.01098901098901099;0.006329113924050633;0.005319148936170213;0.013513513513513514;0.028735632183908046;0.018867924528301886;0.00975609756097561;0.005376344086021506;0.016597510373443983;0.004273504273504274;0.02564102564102564;0.11975780036890063;0.004273504273504274;0.007725090443792036;0.011975780036890062;0.028735632183908046
3;ross lf;0.016483516483516484;0.0;0.015957446808510637;0.0;0.0;0.03773584905660377;0.01951219512195122;0.0;0.016597510373443983;0.01282051282051282;0.00641025641025641;0.11910703066453891;0.0;0.01225770012420247;0.011910703066453891;0.03773584905660377
4;chapman j;0.005494505494505495;0.006329113924050633;0.06914893617021277;0.006756756756756757;0.011494252873563218;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.10410161399957668;0.0;0.021001785676274316;0.010410161399957669;0.06914893617021277
5;petrini c;0.005494505494505495;0.006329113924050633;0.005319148936170213;0.02702702702702703;0.0;0.012578616352201259;0.004878048780487805;0.016129032258064516;0.004149377593360996;0.017094017094017096;0.00641025641025641;0.09899888745988505;0.0;0.008168423095699946;0.009899888745988506;0.02702702702702703
6;delmonico fl;0.005494505494505495;0.006329113924050633;0.015957446808510637;0.006756756756756757;0.011494252873563218;0.025157232704402517;0.014634146341463415;0.005376344086021506;0.004149377593360996;0.0;0.00641025641025641;0.09534917658263517;0.0;0.007353604199169278;0.009534917658263517;0.025157232704402517
7;lavee j;0.0;0.012658227848101266;0.015957446808510637;0.013513513513513514;0.011494252873563218;0.0;0.024390243902439025;0.005376344086021506;0.004149377593360996;0.004273504273504274;0.00641025641025641;0.09181291089901443;0.0;0.007788252715660178;0.009181291089901443;0.024390243902439025
8;caplan al;0.005494505494505495;0.0189873417721519;0.010638297872340425;0.02027027027027027;0.0;0.006289308176100629;0.0;0.010752688172043012;0.0;0.017094017094017096;0.00641025641025641;0.08952642885142884;0.0;0.0078926755851571;0.008952642885142883;0.02027027027027027
9;weimar w;0.0;0.006329113924050633;0.005319148936170213;0.006756756756756757;0.005747126436781609;0.031446540880503145;0.004878048780487805;0.016129032258064516;0.008298755186721992;0.004273504273504274;0.0;0.08917802743304094;0.0;0.00889269579295745;0.008917802743304094;0.031446540880503145
10;bramstedt ka;0.016483516483516484;0.0;0.010638297872340425;0.006756756756756757;0.005747126436781609;0.006289308176100629;0.00975609756097561;0.016129032258064516;0.004149377593360996;0.004273504273504274;0.00641025641025641;0.0802230174114013;0.0;0.005274175669104939;0.00802230174114013;0.016483516483516484
11;ladin k;0.005494505494505495;0.006329113924050633;0.0;0.013513513513513514;0.0;0.006289308176100629;0.0;0.021505376344086023;0.008298755186721992;0.017094017094017096;0.019230769230769232;0.07852458973299538;0.0;0.007448807279570076;0.007852458973299538;0.021505376344086023
12;dominguez-gil b;0.0;0.006329113924050633;0.0;0.0;0.005747126436781609;0.018867924528301886;0.014634146341463415;0.010752688172043012;0.004149377593360996;0.017094017094017096;0.019230769230769232;0.07757439409001865;0.0;0.007199601504386702;0.007757439409001865;0.018867924528301886
13;thistlethwaite jr jr;0.005494505494505495;0.0;0.015957446808510637;0.0;0.0;0.025157232704402517;0.01951219512195122;0.0;0.008298755186721992;0.0;0.0;0.07442013531609186;0.0;0.009507163957883764;0.007442013531609186;0.025157232704402517
14;fortin mc;0.01098901098901099;0.0;0.0;0.013513513513513514;0.011494252873563218;0.0;0.0;0.016129032258064516;0.004149377593360996;0.017094017094017096;0.01282051282051282;0.07336920432153032;0.0;0.007201509727866536;0.007336920432153032;0.017094017094017096
15;segev dl;0.005494505494505495;0.0;0.010638297872340425;0.0;0.005747126436781609;0.006289308176100629;0.004878048780487805;0.010752688172043012;0.016597510373443983;0.01282051282051282;0.02564102564102564;0.07321799812621577;0.0;0.005365723201857705;0.007321799812621576;0.016597510373443983
16;van assche k;0.0;0.0;0.0;0.02027027027027027;0.017241379310344827;0.012578616352201259;0.014634146341463415;0.0;0.004149377593360996;0.004273504273504274;0.0;0.07314729414114504;0.0;0.008034345406531248;0.007314729414114504;0.02027027027027027
17;caplan a;0.005494505494505495;0.006329113924050633;0.0;0.0;0.017241379310344827;0.018867924528301886;0.004878048780487805;0.016129032258064516;0.004149377593360996;0.0;0.019230769230769232;0.07308938188911616;0.0;0.007382137688194313;0.0073089381889116165;0.018867924528301886
