;coi_lemmas;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
1;committee;0;0;0;0;0;0;0;2;6;10;1;19;0;3.29;1.73;10
2;research;0;0;0;0;0;0;0;1;3;7;7;18;0;2.8;1.64;7
3;ethics;0;0;0;0;0;0;0;2;7;4;1;14;0;2.28;1.27;7
4;study;0;0;0;0;0;0;1;3;2;6;1;13;0;1.89;1.18;6
5;receive;0;0;0;0;0;0;0;1;1;8;3;13;0;2.44;1.18;8
6;member;0;0;0;0;0;0;0;2;3;5;2;12;0;1.7;1.09;5
7;transplant;0;0;0;0;0;0;0;3;3;6;0;12;0;2.02;1.09;6
8;publish;0;0;0;0;0;0;0;0;5;3;1;9;0;1.66;0.82;5
9;affiliation;0;0;0;0;0;0;0;0;5;4;0;9;0;1.83;0.82;5
10;report;0;0;0;0;0;0;0;0;2;6;1;9;0;1.83;0.82;6
11;institutional;0;0;0;0;0;0;0;1;5;3;0;9;0;1.66;0.82;5
12;article;0;0;0;0;0;0;2;0;1;3;2;8;0;1.1;0.73;3
13;nature;0;0;0;0;0;0;0;0;5;3;0;8;0;1.68;0.73;5
14;remain;0;0;0;0;0;0;0;0;5;3;0;8;0;1.68;0.73;5
15;neutral;0;0;0;0;0;0;0;0;5;3;0;8;0;1.68;0.73;5
16;regard;0;0;0;0;0;0;0;0;5;3;0;8;0;1.68;0.73;5
17;publication;0;0;0;0;0;0;0;1;2;3;2;8;0;1.1;0.73;3
18;jurisdictional;0;0;0;0;0;0;0;0;5;3;0;8;0;1.68;0.73;5
19;claim;0;0;0;0;0;0;0;0;5;3;0;8;0;1.68;0.73;5
20;map;0;0;0;0;0;0;0;0;5;3;0;8;0;1.68;0.73;5
21;university;0;0;0;0;0;0;0;0;4;1;3;8;0;1.42;0.73;4
22;helsinki;0;0;0;0;0;0;0;0;0;3;4;7;0;1.43;0.64;4
23;abuse;0;0;0;0;0;0;0;0;2;5;0;7;0;1.57;0.64;5
24;china;0;0;0;0;0;0;0;0;2;5;0;7;0;1.57;0.64;5
25;end;0;0;0;0;0;0;0;0;2;5;0;7;0;1.57;0.64;5
26;declaration;0;0;0;0;0;0;0;0;1;4;2;7;0;1.29;0.64;4
27;work;0;0;0;0;0;0;0;1;3;1;2;7;0;1.03;0.64;3
28;approve;0;0;0;0;0;0;0;0;4;3;0;7;0;1.43;0.64;4
29;international;0;0;0;0;0;0;0;0;1;6;0;7;0;1.8;0.64;6
30;grant;0;0;0;0;0;0;0;0;0;5;2;7;0;1.57;0.64;5
31;interests.springer;0;0;0;0;0;0;0;0;4;3;0;7;0;1.43;0.64;4
32;board;0;0;0;0;0;0;0;0;2;1;3;6;0;1.04;0.55;3
33;indicate;0;0;0;0;0;0;0;1;0;1;4;6;0;1.21;0.55;4
34;employee;0;0;0;0;0;0;0;0;0;5;1;6;0;1.51;0.55;5
35;consent;0;0;0;0;0;0;0;0;2;2;2;6;0;0.93;0.55;2
36;approval;0;0;0;0;0;0;0;0;2;0;4;6;0;1.29;0.55;4
37;foundation;0;0;0;0;0;0;0;0;0;1;5;6;0;1.51;0.55;5
38;authorship;0;0;0;0;0;0;0;1;1;3;1;6;0;0.93;0.55;3
39;coalition;0;0;0;0;0;0;0;0;1;5;0;6;0;1.51;0.55;5
40;conflicting;0;0;0;0;0;0;0;0;1;3;1;5;0;0.93;0.45;3
41;and/or;0;0;0;0;0;0;0;0;1;3;1;5;0;0.93;0.45;3
42;animal;0;0;0;0;0;0;1;1;3;0;0;5;0;0.93;0.45;3
43;fee;0;0;0;0;0;0;0;0;0;4;1;5;0;1.21;0.45;4
44;pharma;0;0;0;0;0;0;0;3;0;2;0;5;0;1.04;0.45;3
45;medical;0;0;0;0;0;0;0;0;2;2;1;5;0;0.82;0.45;2
46;hospital;0;0;0;0;0;0;0;0;2;1;2;5;0;0.82;0.45;2
47;respect;0;0;0;0;0;0;0;0;1;3;1;5;0;0.93;0.45;3
48;dr;0;0;0;0;0;0;0;0;0;5;0;5;0;1.51;0.45;5
49;author(s;0;0;0;0;0;0;0;0;1;3;1;5;0;0.93;0.45;3
50;patient;0;0;0;0;0;0;0;0;2;1;2;5;0;0.82;0.45;2
51;datum;0;0;0;0;0;0;0;2;1;1;0;4;0;0.67;0.36;2
52;conduct;0;0;0;0;0;0;0;1;0;3;0;4;0;0.92;0.36;3
53;group;0;0;0;0;0;0;0;0;2;2;0;4;0;0.81;0.36;2
54;blood;0;0;0;0;0;0;0;0;1;3;0;4;0;0.92;0.36;3
55;society;0;0;0;0;0;0;0;0;1;0;3;4;0;0.92;0.36;3
56;obtain;0;0;0;0;0;0;0;0;1;1;2;4;0;0.67;0.36;2
57;astellas;0;0;0;0;0;0;0;3;0;1;0;4;0;0.92;0.36;3
58;procedure;0;0;0;0;0;0;0;0;1;0;3;4;0;0.92;0.36;3
59;canada;0;0;0;0;0;0;0;0;0;4;0;4;0;1.21;0.36;4
60;co;0;0;0;0;0;0;0;0;0;1;3;4;0;0.92;0.36;3
61;advisory;0;0;0;0;0;0;0;0;0;2;2;4;0;0.81;0.36;2
62;advocacy;0;0;0;0;0;0;0;0;0;4;0;4;0;1.21;0.36;4
63;support;0;0;0;0;0;0;0;1;1;1;1;4;0;0.5;0.36;1
64;ethical;0;0;0;0;0;0;0;0;1;0;3;4;0;0.92;0.36;3
65;applicable.the;0;0;0;0;0;0;0;0;1;2;0;3;0;0.65;0.27;2
66;finnish;0;0;0;0;0;0;0;0;0;0;3;3;0;0.9;0.27;3
67;initiatives;0;0;0;0;0;0;0;0;0;3;0;3;0;0.9;0.27;3
68;die;0;0;0;0;0;0;0;0;1;2;0;3;0;0.65;0.27;2
69;astrazeneca;0;0;0;0;0;0;0;0;0;3;0;3;0;0.9;0.27;3
70;organ;0;0;0;0;0;0;0;0;1;1;1;3;0;0.47;0.27;1
71;ethic;0;0;0;0;0;0;1;1;0;1;0;3;0;0.47;0.27;1
72;de;0;0;0;0;0;0;0;0;2;0;1;3;0;0.65;0.27;2
73;disclosure;0;0;0;0;0;0;0;0;2;0;1;3;0;0.65;0.27;2
74;fund;0;0;0;0;0;0;0;0;0;1;2;3;0;0.65;0.27;2
75;number;0;0;0;0;0;0;0;0;2;1;0;3;0;0.65;0.27;2
76;personal;0;0;0;0;0;0;0;0;0;2;1;3;0;0.65;0.27;2
77;canadian;0;0;0;0;0;0;0;0;0;3;0;3;0;0.9;0.27;3
78;national;0;0;0;0;0;0;0;1;1;0;1;3;0;0.47;0.27;1
79;institute;0;0;0;0;0;0;0;0;0;1;2;3;0;0.65;0.27;2
