;coi_lemmas;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
1;committee;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010752688172043012;0.024896265560165973;0.042735042735042736;0.00641025641025641;0.07838399646725172;0.0;0.01470949477610981;0.007838399646725173;0.042735042735042736
2;ethics;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010752688172043012;0.029045643153526972;0.017094017094017096;0.00641025641025641;0.056892348419587076;0.0;0.010153276311222028;0.005689234841958707;0.029045643153526972
3;study;0.0;0.0;0.0;0.0;0.0;0.0;0.004878048780487805;0.016129032258064516;0.008298755186721992;0.02564102564102564;0.00641025641025641;0.054946861866299955;0.0;0.008871657819295225;0.005494686186629996;0.02564102564102564
4;transplant;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.016129032258064516;0.012448132780082987;0.02564102564102564;0.0;0.05421819067917314;0.0;0.009301150867641649;0.005421819067917314;0.02564102564102564
5;research;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005376344086021506;0.012448132780082987;0.029914529914529916;0.04487179487179487;0.047739006780634405;0.0;0.00972304769669032;0.004773900678063441;0.029914529914529916
6;member;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010752688172043012;0.012448132780082987;0.021367521367521368;0.01282051282051282;0.04456834231964737;0.0;0.007663140988706375;0.004456834231964737;0.021367521367521368
7;receive;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005376344086021506;0.004149377593360996;0.03418803418803419;0.019230769230769232;0.043713755867416694;0.0;0.010665910632488958;0.004371375586741669;0.03418803418803419
8;institutional;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005376344086021506;0.02074688796680498;0.01282051282051282;0.0;0.038943744873339306;0.0;0.007242179372287009;0.0038943744873339305;0.02074688796680498
9;affiliation;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02074688796680498;0.017094017094017096;0.0;0.03784090506082208;0.0;0.00802389051614331;0.0037840905060822078;0.02074688796680498
10;report;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008298755186721992;0.02564102564102564;0.00641025641025641;0.03393978082774763;0.0;0.008240419766204772;0.003393978082774763;0.02564102564102564
11;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02074688796680498;0.01282051282051282;0.0;0.0335674007873178;0.0;0.007319091243882129;0.0033567400787317798;0.02074688796680498
12;map;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02074688796680498;0.01282051282051282;0.0;0.0335674007873178;0.0;0.007319091243882129;0.0033567400787317798;0.02074688796680498
13;jurisdictional;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02074688796680498;0.01282051282051282;0.0;0.0335674007873178;0.0;0.007319091243882129;0.0033567400787317798;0.02074688796680498
14;regard;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02074688796680498;0.01282051282051282;0.0;0.0335674007873178;0.0;0.007319091243882129;0.0033567400787317798;0.02074688796680498
15;claim;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02074688796680498;0.01282051282051282;0.0;0.0335674007873178;0.0;0.007319091243882129;0.0033567400787317798;0.02074688796680498
16;remain;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02074688796680498;0.01282051282051282;0.0;0.0335674007873178;0.0;0.007319091243882129;0.0033567400787317798;0.02074688796680498
17;nature;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02074688796680498;0.01282051282051282;0.0;0.0335674007873178;0.0;0.007319091243882129;0.0033567400787317798;0.02074688796680498
