;journal;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
1;american journal of transplantation : official journal of the american society of transplantation and the american society of transplant surgeons;11;4;9;4;10;19;33;38;30;33;36;227;4;13.52;20.64;38
2;transplantation;6;8;10;5;11;9;10;12;8;7;7;93;5;2.16;8.45;12
3;journal of medical ethics;4;4;4;6;11;10;10;8;6;8;7;78;4;2.55;7.09;11
4;transplantation proceedings;9;14;7;6;5;7;1;3;6;9;6;73;1;3.38;6.64;14
5;the american journal of bioethics : ajob;12;20;8;0;5;6;2;1;3;1;1;59;0;6.07;5.36;20
6;bmj open;0;0;0;1;0;8;4;10;5;14;8;50;0;4.89;4.55;14
7;bioethics;2;1;2;2;4;3;3;2;10;3;1;33;1;2.49;3.0;10
8;cambridge quarterly of healthcare ethics : cq : the international journal of healthcare ethics committees;2;4;3;8;1;0;3;0;4;3;0;28;0;2.38;2.55;8
9;liver transplantation : official publication of the american association for the  study of liver diseases and the international liver transplantation society;4;4;1;5;2;5;1;3;2;0;0;27;0;1.86;2.45;5
10;progress in transplantation (aliso viejo, calif.);5;2;2;1;3;0;3;4;2;4;1;27;0;1.51;2.45;5
11;clinical transplantation;1;2;1;5;2;2;0;3;6;3;2;27;0;1.75;2.45;6
12;current opinion in organ transplantation;3;0;2;1;5;0;0;6;3;3;4;27;0;2.07;2.45;6
13;transplant international : official journal of the european society for organ transplantation;0;2;1;2;4;0;9;3;2;1;3;27;0;2.5;2.45;9
14;ama journal of ethics;0;0;0;0;0;1;10;0;3;10;1;25;0;3.93;2.27;10
15;medicine, health care, and philosophy;2;0;3;4;2;0;6;0;3;4;1;25;0;1.95;2.27;6
16;pediatric transplantation;0;0;3;0;2;2;2;5;3;5;1;23;0;1.81;2.09;5
17;the journal of medicine and philosophy;6;0;1;2;1;0;2;7;0;3;0;22;0;2.45;2.0;7
18;american journal of kidney diseases : the official journal of the national kidney foundation;1;3;0;1;3;6;0;1;3;1;2;21;0;1.76;1.91;6
19;the hastings center report;1;0;1;3;1;3;1;0;11;0;0;21;0;3.21;1.91;11
20;bmc medical ethics;1;0;1;3;2;1;1;4;3;2;2;20;0;1.17;1.82;4
21;the journal of clinical ethics;3;0;6;2;1;1;1;1;2;2;1;20;0;1.6;1.82;6
22;narrative inquiry in bioethics;0;0;17;0;0;0;0;0;1;1;0;19;0;5.08;1.73;17
23;the journal of heart and lung transplantation : the official publication of the international society for heart transplantation;0;1;3;2;1;1;3;1;0;3;2;17;0;1.13;1.55;3
24;journal of hepatology;0;4;2;0;3;1;0;0;3;1;1;15;0;1.43;1.36;4
25;indian journal of medical ethics;1;1;0;0;7;0;2;2;1;0;0;14;0;2.05;1.27;7
26;xenotransplantation;0;0;0;1;1;5;2;1;3;0;1;14;0;1.56;1.27;5
27;lancet (london, england);0;5;1;0;1;2;0;1;1;1;1;13;0;1.4;1.18;5
28;plastic and reconstructive surgery;2;1;1;1;0;0;3;0;4;1;0;13;0;1.33;1.18;4
29;pediatrics;2;1;0;3;1;0;0;1;0;1;4;13;0;1.33;1.18;4
30;clinical journal of the american society of nephrology : cjasn;2;1;1;2;0;2;0;1;2;0;0;11;0;0.89;1.0;2
31;annals of transplantation;2;0;2;0;2;1;0;0;3;0;0;10;0;1.14;0.91;3
