;journal;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
1;american journal of transplantation : official journal of the american society of transplantation and the american society of transplant surgeons;0.06043956043956044;0.02531645569620253;0.047872340425531915;0.02702702702702703;0.05747126436781609;0.11949685534591195;0.16097560975609757;0.20430107526881722;0.12448132780082988;0.14102564102564102;0.23076923076923078;0.9684071571534356;0.02531645569620253;0.061601944157607565;0.09684071571534356;0.20430107526881722
2;transplantation;0.03296703296703297;0.05063291139240506;0.05319148936170213;0.033783783783783786;0.06321839080459771;0.05660377358490566;0.04878048780487805;0.06451612903225806;0.03319502074688797;0.029914529914529916;0.04487179487179487;0.4668035493929813;0.029914529914529916;0.013207101252962839;0.04668035493929813;0.06451612903225806
3;journal of medical ethics;0.02197802197802198;0.02531645569620253;0.02127659574468085;0.04054054054054054;0.06321839080459771;0.06289308176100629;0.04878048780487805;0.043010752688172046;0.024896265560165973;0.03418803418803419;0.04487179487179487;0.3860986267663002;0.02127659574468085;0.015927549860026362;0.03860986267663002;0.06321839080459771
4;transplantation proceedings;0.04945054945054945;0.08860759493670886;0.03723404255319149;0.04054054054054054;0.028735632183908046;0.0440251572327044;0.004878048780487805;0.016129032258064516;0.024896265560165973;0.038461538461538464;0.038461538461538464;0.37295840195785956;0.004878048780487805;0.022518587783911546;0.037295840195785954;0.08860759493670886
5;the american journal of bioethics : ajob;0.06593406593406594;0.12658227848101267;0.0425531914893617;0.0;0.028735632183908046;0.03773584905660377;0.00975609756097561;0.005376344086021506;0.012448132780082987;0.004273504273504274;0.00641025641025641;0.3333950958455365;0.0;0.03889152380297406;0.03333950958455365;0.12658227848101267
6;bmj open;0.0;0.0;0.0;0.006756756756756757;0.0;0.050314465408805034;0.01951219512195122;0.053763440860215055;0.02074688796680498;0.05982905982905983;0.05128205128205128;0.2109228059435929;0.0;0.024516523399706662;0.02109228059435929;0.05982905982905983
7;bioethics;0.01098901098901099;0.006329113924050633;0.010638297872340425;0.013513513513513514;0.022988505747126436;0.018867924528301886;0.014634146341463415;0.010752688172043012;0.04149377593360996;0.01282051282051282;0.00641025641025641;0.1630274898419731;0.006329113924050633;0.009995308538580551;0.01630274898419731;0.04149377593360996
8;liver transplantation : official publication of the american association for the  study of liver diseases and the international liver transplantation society;0.02197802197802198;0.02531645569620253;0.005319148936170213;0.033783783783783786;0.011494252873563218;0.031446540880503145;0.004878048780487805;0.016129032258064516;0.008298755186721992;0.0;0.0;0.15864404037351917;0.0;0.011788006043062765;0.01586440403735192;0.033783783783783786
9;cambridge quarterly of healthcare ethics : cq : the international journal of healthcare ethics committees;0.01098901098901099;0.02531645569620253;0.015957446808510637;0.05405405405405406;0.005747126436781609;0.0;0.014634146341463415;0.0;0.016597510373443983;0.01282051282051282;0.0;0.15611626351998006;0.0;0.015591892434911608;0.015611626351998007;0.05405405405405406
10;progress in transplantation (aliso viejo, calif.);0.027472527472527472;0.012658227848101266;0.010638297872340425;0.006756756756756757;0.017241379310344827;0.0;0.014634146341463415;0.021505376344086023;0.008298755186721992;0.017094017094017096;0.00641025641025641;0.13629948422635926;0.0;0.007824619769702055;0.013629948422635926;0.027472527472527472
11;clinical transplantation;0.005494505494505495;0.012658227848101266;0.005319148936170213;0.033783783783783786;0.011494252873563218;0.012578616352201259;0.0;0.016129032258064516;0.024896265560165973;0.01282051282051282;0.01282051282051282;0.13517434592706853;0.0;0.009817909051090359;0.013517434592706854;0.033783783783783786
12;transplant international : official journal of the european society for organ transplantation;0.0;0.012658227848101266;0.005319148936170213;0.013513513513513514;0.022988505747126436;0.0;0.04390243902439024;0.016129032258064516;0.008298755186721992;0.004273504273504274;0.019230769230769232;0.12708312678759245;0.0;0.013162659392348612;0.012708312678759246;0.04390243902439024
13;medicine, health care, and philosophy;0.01098901098901099;0.0;0.015957446808510637;0.02702702702702703;0.011494252873563218;0.0;0.02926829268292683;0.0;0.012448132780082987;0.017094017094017096;0.00641025641025641;0.12427818025513879;0.0;0.010526497191721223;0.01242781802551388;0.02926829268292683
14;current opinion in organ transplantation;0.016483516483516484;0.0;0.010638297872340425;0.006756756756756757;0.028735632183908046;0.0;0.0;0.03225806451612903;0.012448132780082987;0.01282051282051282;0.02564102564102564;0.12014091341324654;0.0;0.011415342471151927;0.012014091341324654;0.03225806451612903
15;the journal of medicine and philosophy;0.03296703296703297;0.0;0.005319148936170213;0.013513513513513514;0.005747126436781609;0.0;0.00975609756097561;0.03763440860215054;0.0;0.01282051282051282;0.0;0.11775784083713726;0.0;0.013416274981389168;0.011775784083713726;0.03763440860215054
16;pediatric transplantation;0.0;0.0;0.015957446808510637;0.0;0.011494252873563218;0.012578616352201259;0.00975609756097561;0.026881720430107527;0.012448132780082987;0.021367521367521368;0.00641025641025641;0.11048378817296262;0.0;0.00915088407509663;0.011048378817296261;0.026881720430107527
17;ama journal of ethics;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.04878048780487805;0.0;0.012448132780082987;0.042735042735042736;0.00641025641025641;0.1102529714961044;0.0;0.018811224494139564;0.01102529714961044;0.04878048780487805
