;keywords;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
1;ethics;0;0;1;12;18;23;17;15;7;17;12;122;0;8.01;11.09;23
2;transplantation;0;0;0;4;14;14;13;6;4;7;12;74;0;5.69;6.73;14
3;organ donation;0;2;0;6;10;7;3;6;6;10;6;56;0;3.48;5.09;10
4;organ transplantation;0;2;1;2;7;5;10;7;6;8;1;49;0;3.39;4.45;10
5;ethics and public policy;0;0;0;0;4;16;9;8;0;0;8;45;0;5.45;4.09;16
6;kidney transplantation;1;0;0;5;6;8;7;7;2;2;2;40;0;3.01;3.64;8
7;brain death;0;0;0;2;3;2;7;3;3;7;7;34;0;2.77;3.09;7
8;organ procurement and allocation;0;0;0;0;3;8;4;4;1;0;5;25;0;2.72;2.27;8
9;organ allocation;0;0;0;1;2;6;4;3;1;1;2;20;0;1.89;1.82;6
10;informed consent;0;1;0;3;2;4;3;0;0;3;0;16;0;1.57;1.45;4
11;medical ethics;1;0;0;1;0;4;4;3;0;1;2;16;0;1.57;1.45;4
12;organ transplantation in general;0;0;0;0;2;4;3;1;1;0;4;15;0;1.63;1.36;4
13;organ procurement;0;0;0;0;3;2;0;2;1;3;4;15;0;1.5;1.36;4
14;bioethics;0;0;0;2;0;3;1;1;2;3;1;13;0;1.17;1.18;3
15;liver transplantation;0;0;0;0;2;1;4;2;2;0;2;13;0;1.33;1.18;4
16;health services and outcomes research;0;0;0;0;3;4;2;2;1;0;0;12;0;1.45;1.09;4
17;xenotransplantation;0;0;0;1;2;5;2;0;1;0;0;11;0;1.55;1.0;5
18;autonomy;0;0;0;2;2;1;1;2;1;0;0;9;0;0.87;0.82;2
19;living donors;0;0;0;1;0;5;2;1;0;0;0;9;0;1.54;0.82;5
20;death;0;0;0;0;2;1;1;1;0;2;1;8;0;0.79;0.73;2
21;dead donor rule;0;0;0;1;1;2;2;0;1;0;1;8;0;0.79;0.73;2
22;altruism;0;0;0;0;3;2;0;0;1;2;0;8;0;1.1;0.73;3
23;donors and donation;0;0;0;0;0;2;2;2;1;0;1;8;0;0.9;0.73;2
24;social sciences;0;0;0;0;1;4;1;0;0;0;1;7;0;1.21;0.64;4
25;intensive care;0;0;0;0;2;1;1;0;0;3;0;7;0;1.03;0.64;3
26;living donation;0;0;0;2;1;0;2;1;0;0;1;7;0;0.81;0.64;2
27;kidney donation;0;0;0;1;1;1;0;3;0;1;0;7;0;0.92;0.64;3
28;renal transplantation;0;0;0;1;1;1;0;3;0;0;0;6;0;0.93;0.55;3
29;allocation;0;0;0;1;2;0;2;1;0;0;0;6;0;0.82;0.55;2
30;disparities;0;0;0;0;1;1;2;1;0;1;0;6;0;0.69;0.55;2
31;transplant surgery;0;0;0;0;0;2;2;2;0;0;0;6;0;0.93;0.55;2
32;health policy;0;0;0;1;3;0;0;1;0;1;0;6;0;0.93;0.55;3
33;heart transplant;0;0;0;1;2;0;0;2;0;1;0;6;0;0.82;0.55;2
34;policy;0;0;0;1;3;0;0;1;0;1;0;6;0;0.93;0.55;3
35;quality of life;0;0;0;0;0;2;1;1;1;1;0;6;0;0.69;0.55;2
36;presumed consent;0;0;0;1;1;0;0;0;1;3;0;6;0;0.93;0.55;3
37;infectious disease;0;0;0;0;0;0;0;1;0;0;5;6;0;1.51;0.55;5
38;religion;0;0;0;0;2;0;0;0;0;0;4;6;0;1.29;0.55;4
39;kidneys;0;0;0;0;1;3;0;1;1;0;0;6;0;0.93;0.55;3
40;heart transplantation;0;0;0;0;1;1;0;1;2;1;0;6;0;0.69;0.55;2
41;donation after circulatory death;0;0;0;0;0;0;3;0;1;0;1;5;0;0.93;0.45;3
42;palliative care;0;0;0;0;0;1;0;0;1;0;3;5;0;0.93;0.45;3
43;transplant ethics;0;0;0;1;1;0;0;1;0;1;1;5;0;0.52;0.45;1
44;transplant;0;0;0;0;0;1;1;0;3;0;0;5;0;0.93;0.45;3
45;epidemiology;0;0;0;0;0;2;1;0;0;2;0;5;0;0.82;0.45;2
46;education;0;0;0;0;2;2;1;0;0;0;0;5;0;0.82;0.45;2
47;qualitative research;0;0;0;1;1;2;1;0;0;0;0;5;0;0.69;0.45;2
48;clinical ethics;0;0;0;0;3;1;1;0;0;0;0;5;0;0.93;0.45;3
49;graft survival;0;0;0;0;1;0;2;1;1;0;0;5;0;0.69;0.45;2
50;living donor;0;1;0;0;1;0;0;1;1;0;1;5;0;0.52;0.45;1
51;nephrology;0;0;0;0;1;2;0;1;1;0;0;5;0;0.69;0.45;2
52;donation;0;0;0;0;1;0;2;0;1;1;0;5;0;0.69;0.45;2
53;distributive justice;0;0;0;1;1;1;2;0;0;0;0;5;0;0.69;0.45;2
54;pediatric;0;0;0;1;1;1;0;1;0;1;0;5;0;0.52;0.45;1
55;infertility;0;0;0;0;1;0;1;0;0;0;2;4;0;0.67;0.36;2
56;kidney;0;0;0;0;1;1;1;0;0;1;0;4;0;0.5;0.36;1
57;regulation;0;0;0;1;0;1;0;1;0;1;0;4;0;0.5;0.36;1
58;survey;0;0;0;0;0;2;1;0;0;1;0;4;0;0.67;0.36;2
59;heart failure;0;0;0;0;1;2;0;0;0;1;0;4;0;0.67;0.36;2
60;public policy;0;0;0;1;1;1;0;0;1;0;0;4;0;0.5;0.36;1
61;lung transplantation;0;0;0;0;2;1;0;0;1;0;0;4;0;0.67;0.36;2
62;pregnancy;0;0;0;1;1;0;1;0;0;1;0;4;0;0.5;0.36;1
63;survival;0;0;0;0;1;0;0;1;0;2;0;4;0;0.67;0.36;2
64;family;0;0;0;1;0;1;0;0;1;0;1;4;0;0.5;0.36;1
65;uterus transplantation;0;0;0;1;0;1;0;0;0;1;1;4;0;0.5;0.36;1
66;outcomes;0;0;0;1;2;0;1;0;0;0;0;4;0;0.67;0.36;2
67;paternalism;0;0;0;0;2;0;0;1;1;0;0;4;0;0.67;0.36;2
68;kidney transplant;0;0;0;1;0;1;0;1;1;0;0;4;0;0.5;0.36;1
69;disclosure;0;0;0;0;0;2;2;0;0;0;0;4;0;0.81;0.36;2
70;consent;0;0;0;1;2;0;0;0;0;1;0;4;0;0.67;0.36;2
71;human rights;0;0;0;1;0;1;0;1;0;0;1;4;0;0.5;0.36;1
