;keywords;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
1;ethics;0.0;0.0;0.005319148936170213;0.08108108108108109;0.10344827586206896;0.14465408805031446;0.08292682926829269;0.08064516129032258;0.029045643153526972;0.07264957264957266;0.07692307692307693;0.5997698002913495;0.0;0.049169226524812114;0.05997698002913495;0.14465408805031446
2;transplantation;0.0;0.0;0.0;0.02702702702702703;0.08045977011494253;0.0880503144654088;0.06341463414634146;0.03225806451612903;0.016597510373443983;0.029914529914529916;0.07692307692307693;0.3377218505578227;0.0;0.03297110324166258;0.03377218505578227;0.0880503144654088
3;organ donation;0.0;0.012658227848101266;0.0;0.04054054054054054;0.05747126436781609;0.0440251572327044;0.014634146341463415;0.03225806451612903;0.024896265560165973;0.042735042735042736;0.038461538461538464;0.26921870914196344;0.0;0.01971436138578857;0.026921870914196344;0.05747126436781609
4;organ transplantation;0.0;0.012658227848101266;0.005319148936170213;0.013513513513513514;0.040229885057471264;0.031446540880503145;0.04878048780487805;0.03763440860215054;0.024896265560165973;0.03418803418803419;0.00641025641025641;0.24866651239098814;0.0;0.016260021503184695;0.024866651239098814;0.04878048780487805
5;kidney transplantation;0.005494505494505495;0.0;0.0;0.033783783783783786;0.034482758620689655;0.050314465408805034;0.03414634146341464;0.03763440860215054;0.008298755186721992;0.008547008547008548;0.01282051282051282;0.21270202710707967;0.0;0.018535750784244593;0.021270202710707967;0.050314465408805034
6;ethics and public policy;0.0;0.0;0.0;0.0;0.022988505747126436;0.10062893081761007;0.04390243902439024;0.043010752688172046;0.0;0.0;0.05128205128205128;0.2105306282772988;0.0;0.033332812610584385;0.02105306282772988;0.10062893081761007
7;brain death;0.0;0.0;0.0;0.013513513513513514;0.017241379310344827;0.012578616352201259;0.03414634146341464;0.016129032258064516;0.012448132780082987;0.029914529914529916;0.04487179487179487;0.13597154559215166;0.0;0.011856686359756787;0.013597154559215166;0.03414634146341464
8;organ procurement and allocation;0.0;0.0;0.0;0.0;0.017241379310344827;0.050314465408805034;0.01951219512195122;0.021505376344086023;0.004149377593360996;0.0;0.03205128205128205;0.11272279377854809;0.0;0.016393061102399645;0.01127227937785481;0.050314465408805034
9;organ allocation;0.0;0.0;0.0;0.006756756756756757;0.011494252873563218;0.03773584905660377;0.01951219512195122;0.016129032258064516;0.004149377593360996;0.004273504273504274;0.01282051282051282;0.10005096793380475;0.0;0.011912168893902775;0.010005096793380474;0.03773584905660377
10;informed consent;0.0;0.006329113924050633;0.0;0.02027027027027027;0.011494252873563218;0.025157232704402517;0.014634146341463415;0.0;0.0;0.01282051282051282;0.0;0.09070552893426287;0.0;0.009259951023137522;0.009070552893426287;0.025157232704402517
11;medical ethics;0.005494505494505495;0.0;0.0;0.006756756756756757;0.0;0.025157232704402517;0.01951219512195122;0.016129032258064516;0.0;0.004273504273504274;0.01282051282051282;0.07732322660918478;0.0;0.00924947957305645;0.007732322660918478;0.025157232704402517
