;lemmas;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
1;organ;323;214;348;307;399;285;363;284;543;533;360;3959;214;100.99;359.91;543
2;donor;262;208;250;243;246;273;351;234;402;348;283;3100;208;59.68;281.82;402
3;transplantation;218;218;301;240;229;210;317;255;393;370;237;2988;210;64.17;271.64;393
4;transplant;191;149;126;189;199;170;230;274;319;420;243;2510;126;84.4;228.18;420
5;donation;198;126;189;173;225;163;235;202;351;299;230;2391;126;63.04;217.36;351
6;patient;151;157;153;153;181;180;239;227;330;327;184;2282;151;66.6;207.45;330
7;kidney;136;81;173;138;139;172;165;183;255;179;173;1794;81;42.5;163.09;255
8;ethical;102;89;93;117;134;86;155;116;147;191;117;1347;86;32.14;122.45;191
9;study;49;45;62;77;74;102;103;127;172;174;114;1099;45;44.58;99.91;174
10;death;150;47;68;83;93;58;102;99;151;134;105;1090;47;34.95;99.09;151
11;recipient;65;65;81;62;76;84;82;124;159;142;89;1029;62;33.01;93.55;159
12;liver;39;110;66;49;57;74;74;108;146;127;97;947;39;34.01;86.09;146
13;live;82;56;95;88;78;94;92;82;128;88;61;944;56;18.9;85.82;128
14;medical;69;41;58;72;77;41;74;59;98;80;54;723;41;17.19;65.73;98
15;risk;64;29;33;49;53;63;70;87;84;110;47;689;29;24.25;62.64;110
16;result;49;37;41;47;57;47;64;65;104;114;61;686;37;24.88;62.36;114
17;care;69;59;42;44;40;28;76;46;59;140;64;667;28;29.92;60.64;140
18;increase;36;34;43;54;45;49;76;49;90;94;52;622;34;20.71;56.55;94
19;consent;39;38;62;57;52;44;64;75;56;99;35;621;35;18.77;56.45;99
20;potential;47;23;35;44;61;46;41;53;69;115;63;597;23;24.04;54.27;115
21;life;50;27;44;37;44;40;53;54;90;97;46;582;27;21.51;52.91;97
22;include;26;41;41;26;48;42;67;56;99;76;49;571;26;21.78;51.91;99
23;research;31;28;56;23;39;42;73;63;80;81;55;571;23;20.83;51.91;81
24;issue;45;46;43;49;57;32;93;45;64;56;35;565;32;16.66;51.36;93
25;health;31;35;47;56;33;48;69;60;61;79;40;559;31;15.62;50.82;79
26;outcome;18;27;37;30;41;43;58;56;94;89;61;554;18;24.35;50.36;94
27;year;38;29;46;38;64;32;50;34;93;86;42;552;29;21.75;50.18;93
28;clinical;31;31;17;44;36;47;55;77;68;90;50;546;17;21.75;49.64;90
29;review;35;20;44;30;31;40;63;79;66;64;46;518;20;18.46;47.09;79
30;need;38;28;42;40;50;35;57;48;67;64;47;516;28;12.08;46.91;67
31;ethic;54;32;33;36;49;45;50;38;69;72;27;505;27;14.78;45.91;72
32;brain;52;16;39;36;40;30;53;53;62;53;69;503;16;15.19;45.73;69
33;practice;44;28;40;37;48;20;51;62;58;66;48;502;20;13.97;45.64;66
34;group;49;25;26;30;35;47;46;55;83;53;43;492;25;16.49;44.73;83
35;decision;27;26;31;39;35;46;39;34;73;78;50;478;26;17.45;43.45;78
36;deceased;15;24;42;37;45;35;46;36;58;73;63;474;15;16.83;43.09;73
37;human;38;39;30;21;58;52;48;59;53;42;34;474;21;12.1;43.09;59
38;disease;28;25;45;17;23;50;47;43;68;66;61;473;17;17.81;43.0;68
39;family;13;17;24;16;42;31;44;73;70;72;51;453;13;23.04;41.18;73
40;center;31;29;12;23;28;41;35;49;67;71;64;450;12;19.45;40.91;71
41;number;29;15;36;35;28;36;55;40;57;66;46;443;15;14.74;40.27;66
42;method;26;23;23;23;35;37;40;50;63;66;55;441;23;16.21;40.09;66
43;provide;35;21;45;27;30;27;52;53;58;45;35;428;21;12.34;38.91;58
44;heart;25;27;26;18;23;29;33;62;56;74;51;424;18;18.78;38.55;74
45;policy;31;24;18;39;32;43;43;48;53;58;33;422;18;12.17;38.36;58
46;allocation;24;23;43;40;27;26;42;32;55;56;49;417;23;12.25;37.91;56
47;datum;18;10;25;25;21;33;33;52;58;98;43;416;10;24.66;37.82;98
48;use;24;28;44;19;32;24;42;51;50;66;31;411;19;14.43;37.36;66
49;case;23;17;29;27;37;28;36;51;73;62;27;410;17;17.49;37.27;73
50;support;19;22;24;28;34;21;37;33;75;84;29;406;19;21.9;36.91;84
51;treatment;32;22;42;24;25;30;40;45;58;50;34;402;22;11.52;36.55;58
52;=;30;27;8;29;24;58;54;22;66;27;56;401;8;18.65;36.45;66
53;analysis;18;15;16;20;17;35;41;46;78;69;44;399;15;21.96;36.27;78
54;graft;20;12;22;51;29;20;39;40;46;69;50;398;12;17.23;36.18;69
55;system;30;23;36;31;25;20;33;33;55;66;44;396;20;13.96;36.0;66
56;rate;20;23;43;41;31;29;44;43;50;48;22;394;20;11.05;35.82;50
57;time;16;29;35;23;33;31;29;32;68;55;34;385;16;14.48;35.0;68
58;public;33;12;38;35;42;34;25;29;62;49;24;383;12;13.32;34.82;62
59;end;21;31;44;20;27;35;30;32;49;53;33;375;20;10.63;34.09;53
60;renal;25;24;18;26;44;33;60;38;47;32;27;374;18;12.31;34.0;60
61;high;20;23;34;19;26;30;27;37;62;40;54;372;19;13.78;33.82;62
62;consider;29;6;46;20;36;28;34;35;57;46;32;369;6;13.66;33.55;57
63;donate;27;21;44;21;24;33;28;31;73;44;22;368;21;15.47;33.45;73
64;concern;33;28;23;25;34;21;42;28;58;53;23;368;21;12.5;33.45;58
65;benefit;33;19;25;31;40;28;27;30;48;54;29;364;19;10.32;33.09;54
66;follow;20;17;21;27;26;25;41;34;60;53;38;362;17;13.92;32.91;60
67;criterion;34;37;33;33;18;13;33;43;32;48;35;359;13;9.85;32.64;48
68;program;32;29;28;20;17;13;29;41;33;65;51;358;13;15.14;32.55;65
69;report;9;10;17;12;28;54;40;44;55;50;38;357;9;17.98;32.45;55
70;base;26;7;13;21;31;29;40;25;70;63;31;356;7;19.16;32.36;70
71;candidate;15;24;20;26;24;22;35;42;50;62;35;355;15;14.28;32.27;62
72;conclusion;28;18;19;29;30;31;36;35;53;45;28;352;18;10.23;32.0;53
73;process;36;23;30;23;33;16;26;34;51;43;31;346;16;9.79;31.45;51
74;article;28;18;32;31;31;27;39;33;40;39;27;345;18;6.5;31.36;40
75;child;22;21;13;18;27;24;65;31;32;56;34;343;13;15.9;31.18;65
76;survival;22;17;15;18;46;20;25;25;42;68;41;339;15;16.46;30.82;68
77;country;13;15;56;27;17;22;32;27;42;34;48;333;13;13.89;30.27;56
78;procedure;19;26;27;24;23;18;59;34;32;44;24;330;18;12.12;30.0;59
79;list;45;20;20;23;31;24;25;26;24;64;20;322;20;13.56;29.27;64
80;p;18;10;9;33;23;48;53;14;54;10;50;322;9;18.77;29.27;54
81;new;34;16;29;21;34;19;43;25;41;29;29;320;16;8.6;29.09;43
82;factor;18;11;24;26;29;26;31;20;47;54;28;314;11;12.33;28.55;54
83;individual;28;22;15;23;32;21;29;22;48;45;23;308;15;10.23;28.0;48
84;professional;25;6;38;26;15;36;42;15;32;50;19;304;6;13.32;27.64;50
85;face;30;12;21;34;20;12;38;13;53;52;18;303;12;15.13;27.55;53
86;participant;26;6;6;14;19;46;24;28;64;36;31;300;6;17.18;27.27;64
87;trial;2;7;3;9;12;36;31;45;27;68;59;299;2;22.97;27.18;68
88;1;21;14;18;20;22;22;24;36;58;39;24;298;14;12.61;27.09;58
89;perform;23;24;18;17;26;20;33;28;41;45;22;297;17;9.15;27.0;45
90;current;26;14;36;20;28;24;27;29;36;30;25;295;14;6.38;26.82;36
91;tissue;34;32;31;20;24;13;30;33;26;20;32;295;13;6.81;26.82;34
92;united;23;11;20;8;23;24;27;27;35;46;50;294;8;12.88;26.73;50
93;2;25;19;11;15;15;28;26;30;55;38;29;291;11;12.36;26.45;55
94;identify;19;12;16;23;19;23;30;30;45;45;28;290;12;10.81;26.36;45
95;compare;15;24;15;18;24;25;33;25;54;32;25;290;15;10.88;26.36;54
96;model;21;17;18;28;18;18;23;23;53;41;27;287;17;11.29;26.09;53
97;function;25;18;14;21;29;22;42;23;29;27;37;287;14;8.09;26.09;42
98;improve;13;21;21;16;19;15;32;33;48;43;26;287;13;11.61;26.09;48
99;social;19;14;9;18;13;21;23;24;72;56;17;286;9;19.62;26.0;72
100;legal;33;18;22;33;22;20;39;12;23;35;27;284;12;8.28;25.82;39
101;lung;22;22;18;13;16;25;5;6;50;75;30;282;5;20.49;25.64;75
102;associate;9;19;11;16;21;10;26;24;64;53;26;279;9;17.65;25.36;64
103;challenge;10;15;22;21;31;22;26;32;30;38;29;276;10;8.09;25.09;38
104;experience;8;13;13;12;34;20;27;15;49;52;31;274;8;15.16;24.91;52
105;dead;38;22;17;14;25;15;23;25;48;12;34;273;12;11.16;24.82;48
106;aim;16;15;16;15;17;20;23;25;49;40;33;269;15;11.47;24.45;49
107;approach;12;15;24;22;17;17;32;28;35;40;23;265;12;8.86;24.09;40
108;relate;13;16;12;28;21;13;38;28;39;40;15;263;12;11.18;23.91;40
109;change;25;9;19;15;19;23;36;22;38;37;19;262;9;9.46;23.82;38
110;non;16;22;15;19;26;26;19;30;26;42;20;261;15;7.66;23.73;42
111;stage;9;16;30;12;14;22;32;21;48;32;25;261;9;11.34;23.73;48
112;national;9;12;22;12;21;19;27;29;38;43;28;260;9;10.75;23.64;43
113;procurement;25;16;13;16;18;18;21;23;43;53;14;260;13;12.78;23.64;53
114;require;25;13;10;17;19;19;27;33;32;43;21;259;10;9.69;23.55;43
115;address;15;17;18;23;19;25;22;25;34;38;22;258;15;7.03;23.45;38
116;pediatric;13;11;6;22;15;22;55;29;31;36;15;255;6;13.98;23.18;55
117;protocol;13;16;10;8;15;24;29;38;27;38;37;255;8;11.43;23.18;38
118;term;14;21;20;17;38;11;27;29;21;33;22;253;11;8.1;23.0;38
119;failure;6;19;20;19;20;10;24;28;50;38;18;252;6;12.3;22.91;50
120;develop;11;12;17;20;21;24;24;34;27;40;21;251;11;8.64;22.82;40
121;living;30;17;21;17;17;25;26;34;29;15;18;249;15;6.47;22.64;34
122;therapy;6;11;53;7;22;12;14;33;37;33;21;249;6;14.8;22.64;53
123;quality;6;13;27;22;13;17;28;28;40;34;19;247;6;10.07;22.45;40
124;receive;17;17;9;26;15;11;24;25;38;33;30;245;9;9.26;22.27;38
125;hospital;7;8;16;12;21;11;28;43;31;37;30;244;7;12.35;22.18;43
126;good;18;18;20;25;26;14;37;25;26;20;14;243;14;6.66;22.09;37
127;discuss;16;20;25;21;21;20;15;15;32;31;26;242;15;5.92;22.0;32
128;long;12;25;19;12;42;16;26;16;32;29;12;241;12;9.77;21.91;42
129;remain;14;9;19;16;22;25;38;14;31;28;23;239;9;8.51;21.73;38
130;question;16;4;19;18;29;17;32;10;35;41;17;238;4;11.21;21.64;41
131;age;14;19;18;13;22;23;23;16;25;42;20;235;13;7.85;21.36;42
132;cell;33;30;18;18;14;25;17;25;20;9;25;234;9;7.07;21.27;33
133;involve;25;18;22;14;20;17;28;19;26;29;16;234;14;5.08;21.27;29
134;adult;15;14;21;14;8;21;24;26;21;49;20;233;8;10.59;21.18;49
135;low;10;13;21;12;21;32;23;17;36;32;14;231;10;8.96;21.0;36
136;paper;25;8;21;21;16;18;17;13;43;33;16;231;8;9.76;21.0;43
137;principle;36;10;26;17;21;14;21;11;33;19;19;227;10;8.29;20.64;36
138;circulatory;13;9;5;7;19;12;48;23;24;31;34;225;5;13.24;20.45;48
139;committee;15;12;18;16;10;16;16;28;29;38;26;224;10;8.63;20.36;38
140;suggest;12;8;11;17;20;19;22;25;35;37;16;222;8;9.26;20.18;37
141;<;9;6;12;20;14;25;37;14;34;27;23;221;6;10.1;20.09;37
142;present;17;14;13;25;22;15;19;20;24;28;22;219;13;4.83;19.91;28
143;informed;11;21;20;16;24;23;32;8;21;29;14;219;8;7.27;19.91;32
144;evaluation;15;14;11;15;25;20;31;23;15;33;17;219;11;7.25;19.91;33
145;offer;13;13;14;7;14;22;18;16;18;53;30;218;7;12.47;19.82;53
146;significant;16;11;18;16;21;15;21;20;32;23;24;217;11;5.59;19.73;32
147;access;7;10;16;16;13;12;30;28;35;35;15;217;7;10.26;19.73;35
148;law;17;7;21;21;34;21;24;13;28;17;12;215;7;7.59;19.55;34
149;consideration;16;20;12;23;20;16;26;21;18;26;17;215;12;4.34;19.55;26
150;value;14;31;7;20;29;20;11;9;29;28;15;213;7;8.8;19.36;31
151;determine;24;13;9;13;14;12;26;22;34;25;21;213;9;7.7;19.36;34
152;states;17;8;10;4;13;20;21;20;26;35;39;213;4;10.85;19.36;39
153;information;22;11;13;17;11;39;29;16;30;15;8;211;8;9.71;19.18;39
154;3;9;16;8;17;15;16;24;22;25;32;27;211;8;7.49;19.18;32
155;medicine;22;12;17;15;24;16;14;29;24;23;13;209;12;5.6;19.0;29
156;international;8;7;20;15;12;13;35;20;34;25;18;207;7;9.41;18.82;35
157;cost;14;7;22;11;16;2;26;13;33;40;22;206;2;11.27;18.73;40
158;survey;15;6;13;15;13;15;21;22;39;34;13;206;6;9.81;18.73;39
159;society;27;20;11;22;13;12;18;13;24;26;20;206;11;5.78;18.73;27
160;focus;15;5;13;18;17;15;23;22;25;41;9;203;5;9.54;18.45;41
161;assess;10;12;12;21;11;20;14;31;29;23;20;203;10;7.29;18.45;31
162;attitude;30;6;6;19;19;16;20;14;29;21;22;202;6;7.76;18.36;30
