;lemmas;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
1;organ;1.7747252747252746;1.3544303797468353;1.851063829787234;2.074324324324324;2.293103448275862;1.7924528301886793;1.7707317073170732;1.5268817204301075;2.2531120331950207;2.2777777777777777;2.3076923076923075;18.968603325768193;1.3544303797468353;0.32239615472268734;1.8968603325768192;2.293103448275862
2;donor;1.4395604395604396;1.3164556962025316;1.3297872340425532;1.6418918918918919;1.4137931034482758;1.7169811320754718;1.7121951219512195;1.2580645161290323;1.6680497925311204;1.4871794871794872;1.814102564102564;14.983958415012022;1.2580645161290323;0.17413229341879877;1.4983958415012022;1.7169811320754718
3;transplantation;1.1978021978021978;1.379746835443038;1.601063829787234;1.6216216216216217;1.3160919540229885;1.320754716981132;1.5463414634146342;1.3709677419354838;1.6307053941908713;1.5811965811965811;1.5192307692307692;14.566292336395783;1.1978021978021978;0.15649085830957854;1.4566292336395783;1.6307053941908713
4;transplant;1.0494505494505495;0.9430379746835443;0.6702127659574468;1.277027027027027;1.1436781609195403;1.069182389937107;1.1219512195121952;1.4731182795698925;1.3236514522821576;1.794871794871795;1.5576923076923077;11.866181614211257;0.6702127659574468;0.30616703813103;1.1866181614211258;1.794871794871795
5;donation;1.0879120879120878;0.7974683544303798;1.0053191489361701;1.1689189189189189;1.293103448275862;1.0251572327044025;1.146341463414634;1.086021505376344;1.4564315352697095;1.2777777777777777;1.4743589743589745;11.344451473016285;0.7974683544303798;0.18178216576401246;1.1344451473016286;1.4564315352697095
6;patient;0.8296703296703297;0.9936708860759493;0.8138297872340425;1.0337837837837838;1.0402298850574712;1.1320754716981132;1.1658536585365853;1.2204301075268817;1.3692946058091287;1.3974358974358974;1.1794871794871795;10.996274412828184;0.8138297872340425;0.19863134936661803;1.0996274412828184;1.3974358974358974
7;kidney;0.7472527472527473;0.5126582278481012;0.9202127659574468;0.9324324324324325;0.7988505747126436;1.0817610062893082;0.8048780487804879;0.9838709677419355;1.058091286307054;0.7649572649572649;1.108974358974359;8.604965322279423;0.5126582278481012;0.17055489183760783;0.8604965322279423;1.0817610062893082
8;ethical;0.5604395604395604;0.5632911392405063;0.4946808510638298;0.7905405405405406;0.7701149425287356;0.5408805031446541;0.7560975609756098;0.6236559139784946;0.6099585062240664;0.8162393162393162;0.75;6.525898834375314;0.4946808510638298;0.11873046238406389;0.6525898834375314;0.8162393162393162
9;death;0.8241758241758241;0.2974683544303797;0.3617021276595745;0.5608108108108109;0.5344827586206896;0.36477987421383645;0.4975609756097561;0.532258064516129;0.6265560165975104;0.5726495726495726;0.6730769230769231;5.172444379284083;0.2974683544303797;0.15194079351917134;0.5172444379284082;0.8241758241758241
10;study;0.2692307692307692;0.2848101265822785;0.32978723404255317;0.5202702702702703;0.42528735632183906;0.6415094339622641;0.5024390243902439;0.6827956989247311;0.7136929460580913;0.7435897435897436;0.7307692307692307;5.113412603372784;0.2692307692307692;0.1800265106930561;0.5113412603372784;0.7435897435897436
