;meshterms;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
1;humans;177;153;184;141;169;156;198;178;226;217;92;1891;92;37.16;171.91;226
2;female;34;40;42;38;54;43;46;46;74;73;24;514;24;15.25;46.73;74
3;male;36;37;37;33;48;51;40;48;69;66;21;486;21;14.2;44.18;69
4;adult;26;25;29;31;32;37;23;36;55;49;13;356;13;11.81;32.36;55
5;middle aged;16;20;16;21;31;30;19;24;45;35;12;269;12;9.83;24.45;45
6;united states;43;19;22;17;20;28;26;24;28;30;10;267;10;8.5;24.27;43
7;child;10;9;10;14;11;12;22;13;21;16;6;144;6;4.93;13.09;22
8;aged;8;10;7;12;16;14;9;16;21;17;7;137;7;4.68;12.45;21
9;treatment outcome;6;13;14;10;13;13;10;14;17;17;8;135;6;3.47;12.27;17
10;adolescent;11;7;14;8;11;19;17;13;19;10;4;133;4;4.89;12.09;19
11;young adult;11;4;5;8;13;14;13;12;24;17;5;126;4;5.92;11.45;24
12;waiting lists;8;11;8;12;10;10;10;5;11;9;5;99;5;2.32;9.0;12
13;surveys and questionnaires;9;6;6;8;11;7;8;6;13;13;6;93;6;2.73;8.45;13
14;risk factors;8;11;1;4;12;8;6;15;13;10;1;89;1;4.7;8.09;15
15;tissue donors;5;6;5;4;4;5;9;16;11;12;6;83;4;3.93;7.55;16
16;animals;5;4;5;9;8;14;10;7;10;4;4;80;4;3.26;7.27;14
17;retrospective studies;5;4;4;0;10;5;3;11;18;13;5;78;0;5.26;7.09;18
18;risk assessment;10;9;2;3;6;13;5;9;9;9;2;77;2;3.63;7.0;13
19;graft survival;5;3;3;5;8;4;8;11;10;13;2;72;2;3.67;6.55;13
20;united kingdom;10;6;7;10;6;8;6;3;2;9;4;71;2;2.7;6.45;10
21;prognosis;3;2;4;5;5;2;16;6;16;8;0;67;0;5.36;6.09;16
22;decision making;4;4;7;8;5;2;7;5;4;15;1;62;1;3.75;5.64;15
23;informed consent;10;5;8;2;6;7;8;5;5;4;0;60;0;2.84;5.45;10
24;living donors;8;5;6;3;4;6;4;7;5;6;4;58;3;1.49;5.27;8
25;time factors;1;5;4;1;7;7;6;13;3;8;2;57;1;3.57;5.18;13
26;brain death;8;2;4;7;7;4;4;5;5;7;2;55;2;2.05;5.0;8
27;practice guidelines as topic;5;4;3;4;3;6;7;6;7;9;0;54;0;2.47;4.91;9
28;quality of life;3;9;6;2;6;5;6;4;4;6;1;52;1;2.24;4.73;9
29;personal autonomy;3;4;7;7;3;0;7;4;9;6;0;50;0;2.94;4.55;9
30;china;8;7;5;3;4;2;3;3;3;9;3;50;2;2.38;4.55;9
31;death;5;1;2;2;10;3;7;6;6;4;4;50;1;2.62;4.55;10
32;motivation;3;4;3;0;6;9;7;3;7;6;2;50;0;2.66;4.55;9
33;age factors;5;6;2;5;10;6;3;2;3;2;2;46;2;2.52;4.18;10
34;morals;2;2;2;6;3;1;6;6;6;10;1;45;1;2.88;4.09;10
35;patient selection;4;7;3;3;2;4;6;3;7;5;1;45;1;1.97;4.09;7
36;prospective studies;1;0;2;2;4;5;7;7;6;8;2;44;0;2.76;4.0;8
37;tissue and organ procurement;5;3;6;2;2;1;7;4;6;4;3;43;1;1.92;3.91;7
38;altruism;8;3;4;4;5;3;0;3;5;8;0;43;0;2.63;3.91;8
39;qualitative research;1;0;0;4;5;3;3;7;5;9;3;40;0;2.8;3.64;9
40;health policy;8;3;4;4;6;2;5;1;2;3;0;38;0;2.3;3.45;8
41;pregnancy;1;0;1;3;6;2;7;6;4;4;2;36;0;2.33;3.27;7
42;registries;1;3;1;4;1;2;4;1;9;7;1;34;1;2.74;3.09;9
43;family;6;4;4;1;4;3;1;3;2;3;2;33;1;1.48;3.0;6
