;meshterms;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
1;humans;0.9725274725274725;0.9683544303797469;0.9787234042553191;0.9527027027027027;0.9712643678160919;0.9811320754716981;0.9658536585365853;0.956989247311828;0.9377593360995851;0.9273504273504274;0.5897435897435898;9.612657122451457;0.9273504273504274;0.017612976547470485;0.9612657122451458;0.9811320754716981
2;female;0.18681318681318682;0.25316455696202533;0.22340425531914893;0.25675675675675674;0.3103448275862069;0.27044025157232704;0.22439024390243903;0.24731182795698925;0.3070539419087137;0.31196581196581197;0.15384615384615385;2.5916456607436054;0.18681318681318682;0.04181039820443475;0.25916456607436056;0.31196581196581197
3;male;0.1978021978021978;0.23417721518987342;0.19680851063829788;0.22297297297297297;0.27586206896551724;0.32075471698113206;0.1951219512195122;0.25806451612903225;0.2863070539419087;0.28205128205128205;0.1346153846153846;2.4699224858917264;0.1951219512195122;0.04414810957327949;0.24699224858917262;0.32075471698113206
4;adult;0.14285714285714285;0.15822784810126583;0.15425531914893617;0.20945945945945946;0.1839080459770115;0.23270440251572327;0.11219512195121951;0.1935483870967742;0.22821576763485477;0.2094017094017094;0.08333333333333333;1.8247732041440972;0.11219512195121951;0.03956177100692469;0.18247732041440973;0.23270440251572327
5;united states;0.23626373626373626;0.12025316455696203;0.11702127659574468;0.11486486486486487;0.11494252873563218;0.1761006289308176;0.12682926829268293;0.12903225806451613;0.11618257261410789;0.1282051282051282;0.0641025641025641;1.3796954271241928;0.11486486486486487;0.03902491265450668;0.1379695427124193;0.23626373626373626
6;middle aged;0.08791208791208792;0.12658227848101267;0.0851063829787234;0.14189189189189189;0.1781609195402299;0.18867924528301888;0.09268292682926829;0.12903225806451613;0.18672199170124482;0.14957264957264957;0.07692307692307693;1.3663426322546433;0.0851063829787234;0.03980018711172325;0.13663426322546432;0.18867924528301888
7;child;0.054945054945054944;0.056962025316455694;0.05319148936170213;0.0945945945945946;0.06321839080459771;0.07547169811320754;0.1073170731707317;0.06989247311827956;0.08713692946058091;0.06837606837606838;0.038461538461538464;0.7311057972612732;0.05319148936170213;0.01811113815098893;0.07311057972612732;0.1073170731707317
8;aged;0.04395604395604396;0.06329113924050633;0.03723404255319149;0.08108108108108109;0.09195402298850575;0.0880503144654088;0.04390243902439024;0.08602150537634409;0.08713692946058091;0.07264957264957266;0.04487179487179487;0.6952770907956253;0.03723404255319149;0.02098603526408358;0.06952770907956253;0.09195402298850575
9;adolescent;0.06043956043956044;0.04430379746835443;0.07446808510638298;0.05405405405405406;0.06321839080459771;0.11949685534591195;0.08292682926829269;0.06989247311827956;0.07883817427385892;0.042735042735042736;0.02564102564102564;0.6903732626143354;0.042735042735042736;0.022363663501875457;0.06903732626143354;0.11949685534591195
10;treatment outcome;0.03296703296703297;0.08227848101265822;0.07446808510638298;0.06756756756756757;0.07471264367816093;0.08176100628930817;0.04878048780487805;0.07526881720430108;0.07053941908713693;0.07264957264957266;0.05128205128205128;0.6809931133669995;0.03296703296703297;0.015484134178908366;0.06809931133669996;0.08227848101265822
11;young adult;0.06043956043956044;0.02531645569620253;0.026595744680851064;0.05405405405405406;0.07471264367816093;0.0880503144654088;0.06341463414634146;0.06451612903225806;0.0995850622406639;0.07264957264957266;0.03205128205128205;0.6293341710830739;0.02531645569620253;0.02364228006576277;0.06293341710830738;0.0995850622406639
12;waiting lists;0.04395604395604396;0.06962025316455696;0.0425531914893617;0.08108108108108109;0.05747126436781609;0.06289308176100629;0.04878048780487805;0.026881720430107527;0.04564315352697095;0.038461538461538464;0.03205128205128205;0.517341816043361;0.026881720430107527;0.01606587153418667;0.051734181604336106;0.08108108108108109
