;lemmas;df_1988;df_1989;df_1990;df_1991;df_1992;df_1993;df_1994;df_1995;df_1996;df_1997;df_1998;df_1999;df_2000;df_2001;df_2002;df_2003;df_2004;df_2005;df_2006;df_2007;df_2008;df_2009;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;df_2021;total;min;std;mean;max
1;grappa;0;0;0;0;0;0;0;0;1;0;2;0;0;2;0;0;0;0;5;17;8;1;0;2;4;0;1;0;2;5;1;0;0;5;56;0;3.36;1.65;17
2;grape;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;4;6;0;4;6;0;0;0;2;0;2;36;0;2.57;1.06;12
3;alcohol;0;0;0;0;0;0;0;0;9;0;6;0;0;13;0;0;0;0;0;0;3;0;0;0;0;0;0;1;1;0;0;2;1;0;36;0;2.83;1.06;13
4;study;2;0;0;0;0;0;0;0;1;0;2;0;0;4;0;0;0;0;1;1;2;1;0;4;2;0;2;1;0;2;0;0;3;2;30;0;1.2;0.88;4
5;imaging;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;7;4;0;0;6;0;0;0;0;0;0;0;0;0;0;26;0;2.22;0.76;9
6;high;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;2;9;0;0;0;1;0;0;3;1;0;1;0;0;0;4;25;0;1.75;0.74;9
7;method;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;4;2;1;0;2;0;0;1;1;4;0;0;2;1;0;23;0;1.22;0.68;4
8;=;0;0;0;0;0;0;0;0;0;0;3;0;0;19;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;3.28;0.68;19
9;drinker;0;0;0;0;0;0;0;0;5;0;4;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;2.44;0.65;13
10;day;1;0;0;0;0;0;0;0;0;0;4;0;0;13;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;22;0;2.35;0.65;13
11;risk;0;0;0;0;0;0;0;0;0;0;6;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;22;0;2.17;0.65;11
12;compare;0;0;0;0;0;0;0;0;2;0;1;0;0;9;0;0;0;0;1;4;1;1;0;2;0;0;0;0;0;0;0;0;0;0;21;0;1.71;0.62;9
13;parallel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;2.05;0.56;9
14;intake;0;0;0;0;0;0;0;0;6;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;2.43;0.56;13
15;acquisition;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;2.16;0.56;10
16;alcoholic;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;4;0;1;1;0;3;1;2;0;0;2;0;0;19;0;1.13;0.56;4
17;patient;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;3;6;0;18;0;1.33;0.53;6
18;pomace;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;1;2;0;0;0;0;0;0;1;0;3;17;0;1.8;0.5;10
19;coffee;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;2.74;0.47;16
20;>;0;0;0;0;0;0;0;0;1;0;3;0;0;10;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;16;0;1.78;0.47;10
21;95;0;0;0;0;0;0;0;0;0;0;4;0;0;11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;1.99;0.47;11
22;l.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;14;0;0;16;0;2.42;0.47;14
23;result;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;3;1;1;0;4;0;0;1;0;0;1;0;2;1;0;16;0;0.93;0.47;4
24;image;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9;0;0;0;4;0;0;0;0;0;0;0;0;0;0;16;0;1.73;0.47;9
25;control;1;0;0;0;0;0;0;0;0;0;4;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;4;0;16;0;1.26;0.47;5
