;lemmas;df_1988;df_1989;df_1990;df_1991;df_1992;df_1993;df_1994;df_1995;df_1996;df_1997;df_1998;df_1999;df_2000;df_2001;df_2002;df_2003;df_2004;df_2005;df_2006;df_2007;df_2008;df_2009;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;df_2021;total;min;std;mean;max
1;grappa;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.6666666666666667;5.666666666666667;2.6666666666666665;1.0;0.0;1.0;4.0;0.0;0.5;0.0;2.0;5.0;1.0;0.0;0.0;5.0;28.5;0.0;1.4962073264211628;0.8636363636363636;5.666666666666667
2;alcohol;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;6.0;0.0;0.0;6.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;0.0;0.0;1.0;1.0;0.0;26.0;0.0;2.1140538036787246;0.7878787878787878;9.0
3;study;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.6666666666666666;1.0;0.0;2.0;2.0;0.0;1.0;0.5;0.0;2.0;0.0;0.0;3.0;2.0;19.833333333333332;0.0;0.8838239537061559;0.601010101010101;3.0
4;grape;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;2.0;6.0;0.0;2.0;3.0;0.0;0.0;0.0;1.0;0.0;2.0;18.0;0.0;1.371379531049599;0.5454545454545454;6.0
5;method;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;1.3333333333333333;0.6666666666666666;1.0;0.0;1.0;0.0;0.0;0.5;0.5;4.0;0.0;0.0;1.0;1.0;0.0;15.5;0.0;0.9951745951075494;0.4696969696969697;4.0
6;drinker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;4.0;0.0;0.0;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.5;0.0;1.5407962325703652;0.4696969696969697;6.5
7;alcoholic;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.5;1.0;0.0;1.5;0.5;2.0;0.0;0.0;1.0;0.0;0.0;15.5;0.0;1.0378718756682015;0.4696969696969697;4.0
8;risk;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;5.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;2.0;0.0;15.0;0.0;1.4326747077343893;0.45454545454545453;6.0
9;day;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;1.3294807029039344;0.42424242424242425;6.5
10;patient;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;6.0;0.0;13.166666666666668;0.0;1.185077495370522;0.398989898989899;6.0
11;=;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;9.5;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.833333333333334;0.0;1.7172868351193036;0.3888888888888889;9.5
12;intake;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.5;0.0;1.5157006580616388;0.3787878787878788;6.5
