;authors;df_2021;df_2022;total;min;std;mean;max
1;li j;2;0;2;0;1.41;1.0;2
2;liu y;2;0;2;0;1.41;1.0;2
3;zhang j;2;0;2;0;1.41;1.0;2
4;lablans m;2;0;2;0;1.41;1.0;2
5;boschen i;2;0;2;0;1.41;1.0;2
6;lin s;1;1;2;1;0.0;1.0;1
7;cho yc;1;0;1;0;0.71;0.5;1
8;prud'hommeaux e;1;0;1;0;0.71;0.5;1
9;yoon bs;1;0;1;0;0.71;0.5;1
10;sung ys;1;0;1;0;0.71;0.5;1
11;ko y;1;0;1;0;0.71;0.5;1
12;ayati n;1;0;1;0;0.71;0.5;1
13;park hj;1;0;1;0;0.71;0.5;1
14;booth d;1;0;1;0;0.71;0.5;1
15;lee j;1;0;1;0;0.71;0.5;1
16;shin y;1;0;1;0;0.71;0.5;1
17;kim kw;1;0;1;0;0.71;0.5;1
18;lee aj;1;0;1;0;0.71;0.5;1
19;yuan l;1;0;1;0;0.71;0.5;1
20;you s;1;0;1;0;0.71;0.5;1
21;collins j;1;0;1;0;0.71;0.5;1
22;jiang g;1;0;1;0;0.71;0.5;1
23;peterson kj;1;0;1;0;0.71;0.5;1
24;rahmatizadeh s;1;0;1;0;0.71;0.5;1
25;bhamber rs;1;0;1;0;0.71;0.5;1
26;basiri a;1;0;1;0;0.71;0.5;1
27;torbati pm;1;0;1;0;0.71;0.5;1
28;parvin m;1;0;1;0;0.71;0.5;1
29;muhammadnejad s;1;0;1;0;0.71;0.5;1
30;mofid b;1;0;1;0;0.71;0.5;1
31;razzaghdoust a;1;0;1;0;0.71;0.5;1
32;solbrig hr;1;0;1;0;0.71;0.5;1
33;moldwin r;1;0;1;0;0.71;0.5;1
34;campbell ws;1;0;1;0;0.71;0.5;1
35;goel ak;1;0;1;0;0.71;0.5;1
36;hughey jj;1;0;1;0;0.71;0.5;1
37;schoenbachler jl;1;0;1;0;0.71;0.5;1
38;liu x;1;0;1;0;0.71;0.5;1
39;xiao h;1;0;1;0;0.71;0.5;1
40;zhang d;1;0;1;0;0.71;0.5;1
41;deutsch ew;1;0;1;0;0.71;0.5;1
42;xiao w;1;0;1;0;0.71;0.5;1
43;granite sj;1;0;1;0;0.71;0.5;1
44;yi v;1;0;1;0;0.71;0.5;1
45;yan f;1;0;1;0;0.71;0.5;1
46;venner e;1;0;1;0;0.71;0.5;1
47;freimuth rr;1;0;1;0;0.71;0.5;1
48;rasmussen lv;1;0;1;0;0.71;0.5;1
49;overby taylor c;1;0;1;0;0.71;0.5;1
50;babb lj;1;0;1;0;0.71;0.5;1
51;murugan m;1;0;1;0;0.71;0.5;1
52;aslam ma;1;0;1;0;0.71;0.5;1
53;mkanda p;1;0;1;0;0.71;0.5;1
54;mihigo r;1;0;1;0;0.71;0.5;1
55;fussum d;1;0;1;0;0.71;0.5;1
56;fasil t;1;0;1;0;0.71;0.5;1
57;magwati cj;1;0;1;0;0.71;0.5;1
58;zouk h;1;0;1;0;0.71;0.5;1
59;aronson sj;1;0;1;0;0.71;0.5;1
60;power k;1;0;1;0;0.71;0.5;1
61;nestor jg;1;0;1;0;0.71;0.5;1
62;jiang y;1;0;1;0;0.71;0.5;1
63;gibbs ra;1;0;1;0;0.71;0.5;1
64;rehm hl;1;0;1;0;0.71;0.5;1
65;wiley k;1;0;1;0;0.71;0.5;1
66;wei w;1;0;1;0;0.71;0.5;1
67;caraballo pj;1;0;1;0;0.71;0.5;1
68;connolly jj;1;0;1;0;0.71;0.5;1
69;fedotov a;1;0;1;0;0.71;0.5;1
70;kullo ij;1;0;1;0;0.71;0.5;1
71;bangash h;1;0;1;0;0.71;0.5;1
72;hakonarson h;1;0;1;0;0.71;0.5;1
73;jarvik gp;1;0;1;0;0.71;0.5;1
74;fasel d;1;0;1;0;0.71;0.5;1
75;crosslin dr;1;0;1;0;0.71;0.5;1
76;jankevics a;1;0;1;0;0.71;0.5;1
77;gill ms;1;0;1;0;0.71;0.5;1
78;jones ar;1;0;1;0;0.71;0.5;1
79;tan h;0;1;1;0;0.71;0.5;1
80;shen b;0;1;1;0;0.71;0.5;1
81;wu w;0;1;1;0;0.71;0.5;1
82;yan w;0;1;1;0;0.71;0.5;1
83;qi x;0;1;1;0;0.71;0.5;1
84;yu c;0;1;1;0;0.71;0.5;1
85;li h;0;1;1;0;0.71;0.5;1
86;xue l;0;1;1;0;0.71;0.5;1
87;strecker p;0;1;1;0;0.71;0.5;1
88;mei r;0;1;1;0;0.71;0.5;1
89;han q;0;1;1;0;0.71;0.5;1
90;gao y;0;1;1;0;0.71;0.5;1
91;mao y;0;1;1;0;0.71;0.5;1
92;yin q;0;1;1;0;0.71;0.5;1
93;jin l;0;1;1;0;0.71;0.5;1
94;scheible r;0;1;1;0;0.71;0.5;1
95;yazijy s;0;1;1;0;0.71;0.5;1
96;dowsey aw;1;0;1;0;0.71;0.5;1
97;yuan x;0;1;1;0;0.71;0.5;1
98;wick a;0;1;1;0;0.71;0.5;1
99;dietrich c;0;1;1;0;0.71;0.5;1
100;li y;0;1;1;0;0.71;0.5;1
101;hao j;0;1;1;0;0.71;0.5;1
102;wang f;0;1;1;0;0.71;0.5;1
103;zhang y;0;1;1;0;0.71;0.5;1
104;liang y;0;1;1;0;0.71;0.5;1
105;thomczyk f;0;1;1;0;0.71;0.5;1
106;zhao j;0;1;1;0;0.71;0.5;1
107;xu m;0;1;1;0;0.71;0.5;1
108;guo y;0;1;1;0;0.71;0.5;1
109;boeker m;0;1;1;0;0.71;0.5;1
110;puhl a;0;1;1;0;0.71;0.5;1
111;talpa r;0;1;1;0;0.71;0.5;1
112;lee y;0;1;1;0;0.71;0.5;1
113;kim yj;0;1;1;0;0.71;0.5;1
114;park jh;0;1;1;0;0.71;0.5;1
115;mathias pc;0;1;1;0;0.71;0.5;1
116;kapli p;0;1;1;0;0.71;0.5;1
117;fujisawa t;0;1;1;0;0.71;0.5;1
118;flouri t;0;1;1;0;0.71;0.5;1
119;brouillet s;0;1;1;0;0.71;0.5;1
120;ducasse j;0;1;1;0;0.71;0.5;1
121;miralles a;0;1;1;0;0.71;0.5;1
122;hoofnagle an;0;1;1;0;0.71;0.5;1
123;lee h;0;1;1;0;0.71;0.5;1
