;journal;df_2021;df_2022;total;min;std;mean;max
1;studies in health technology and informatics;3;1;4;1;1.41;2.0;3
2;journal of biomedical informatics;3;0;3;0;2.12;1.5;3
3;peerj. computer science;2;0;2;0;1.41;1.0;2
4;iranian journal of pharmaceutical research : ijpr;1;0;1;0;0.71;0.5;1
5;bmj (clinical research ed.);1;0;1;0;0.71;0.5;1
6;jama network open;1;0;1;0;0.71;0.5;1
7;journal of immunological sciences;1;0;1;0;0.71;0.5;1
8;oxidative medicine and cellular longevity;1;0;1;0;0.71;0.5;1
9;peerj;1;0;1;0;0.71;0.5;1
10;jco clinical cancer informatics;1;0;1;0;0.71;0.5;1
11;biomed research international;1;0;1;0;0.71;0.5;1
12;journal of proteome research;1;0;1;0;0.71;0.5;1
13;evidence-based complementary and alternative medicine : ecam;1;0;1;0;0.71;0.5;1
14;systematic biology;1;0;1;0;0.71;0.5;1
15;journal of mass spectrometry and advances in the clinical lab;0;1;1;0;0.71;0.5;1
16;molecular ecology resources;0;1;1;0;0.71;0.5;1
17;frontiers in oncology;0;1;1;0;0.71;0.5;1
18;jmir human factors;0;1;1;0;0.71;0.5;1
19;healthcare informatics research;0;1;1;0;0.71;0.5;1
20;frontiers in cell and developmental biology;0;1;1;0;0.71;0.5;1
21;ieee/acm transactions on computational biology and bioinformatics;0;1;1;0;0.71;0.5;1
22;nanoscale;0;1;1;0;0.71;0.5;1
23;microbial cell factories;1;0;1;0;0.71;0.5;1
24;methods of information in medicine;1;0;1;0;0.71;0.5;1
25;human resources for health;1;0;1;0;0.71;0.5;1
26;turkish journal of medical sciences;1;0;1;0;0.71;0.5;1
27;plos one;1;0;1;0;0.71;0.5;1
28;frontiers in pharmacology;1;0;1;0;0.71;0.5;1
29;the febs journal;1;0;1;0;0.71;0.5;1
30;sensors (basel, switzerland);1;0;1;0;0.71;0.5;1
31;food science & nutrition;1;0;1;0;0.71;0.5;1
32;protoplasma;1;0;1;0;0.71;0.5;1
33;scientometrics;1;0;1;0;0.71;0.5;1
34;scientific reports;1;0;1;0;0.71;0.5;1
35;journal of electrocardiology;1;0;1;0;0.71;0.5;1
36;f1000research;1;0;1;0;0.71;0.5;1
37;experimental and therapeutic medicine;1;0;1;0;0.71;0.5;1
38;bmc medical research methodology;1;0;1;0;0.71;0.5;1
39;bmc medical informatics and decision making;1;0;1;0;0.71;0.5;1
40;ecology and evolution;1;0;1;0;0.71;0.5;1
41;indian journal of ophthalmology;1;0;1;0;0.71;0.5;1
42;frontiers in neuroinformatics;1;0;1;0;0.71;0.5;1
43;journal of the medical library association : jmla;1;0;1;0;0.71;0.5;1
44;journal of radiation research;1;0;1;0;0.71;0.5;1
45;rapid communications in mass spectrometry : rcm;0;1;1;0;0.71;0.5;1
