;keywords;df_2021;df_2022;total;min;std;mean;max
1;python;2;1;3;1;0.71;1.5;2
2;xml;3;0;3;0;2.12;1.5;3
3;pubmed;1;1;2;1;0.0;1.0;1
4;software;2;0;2;0;1.41;1.0;2
5;database;1;1;2;1;0.0;1.0;1
6;health information interoperability;2;0;2;0;1.41;1.0;2
7;cofactor regeneration;1;0;1;0;0.71;0.5;1
8;publishing;1;0;1;0;0.71;0.5;1
9;parsing;1;0;1;0;0.71;0.5;1
10;open data;1;0;1;0;0.71;0.5;1
11;ontological reasoning;1;0;1;0;0.71;0.5;1
12;digital libraries;1;0;1;0;0.71;0.5;1
13;algorithms analysis;1;0;1;0;0.71;0.5;1
14;xylose mother liquor;1;0;1;0;0.71;0.5;1
15;xylitol;1;0;1;0;0.71;0.5;1
16;fermentation optimization;1;0;1;0;0.71;0.5;1
17;developing countries;1;0;1;0;0.71;0.5;1
18;mass spectrometry;0;1;1;0;0.71;0.5;1
19;candida tropicalis;1;0;1;0;0.71;0.5;1
20;inversion of control;1;0;1;0;0.71;0.5;1
21;health informatics;1;0;1;0;0.71;0.5;1
22;eprescription;1;0;1;0;0.71;0.5;1
23;business process model and notation;1;0;1;0;0.71;0.5;1
24;qr code;1;0;1;0;0.71;0.5;1
25;tumor board;1;0;1;0;0.71;0.5;1
26;openehr;1;0;1;0;0.71;0.5;1
27;cbioportal;1;0;1;0;0.71;0.5;1
28;highmed;1;0;1;0;0.71;0.5;1
29;scintillation;1;0;1;0;0.71;0.5;1
30;organic fluorophores;1;0;1;0;0.71;0.5;1
31;cherenkov radiation;1;0;1;0;0.71;0.5;1
32;open access;1;0;1;0;0.71;0.5;1
33;dashboard;0;1;1;0;0.71;0.5;1
34;quality control;0;1;1;0;0.71;0.5;1
35;collaborative work;1;0;1;0;0.71;0.5;1
36;visualization;0;1;1;0;0.71;0.5;1
37;medical subject headings;0;1;1;0;0.71;0.5;1
38;databases;0;1;1;0;0.71;0.5;1
39;xinmailong injection;0;1;1;0;0.71;0.5;1
40;network pharmacology;0;1;1;0;0.71;0.5;1
41;myocardial ischemia;0;1;1;0;0.71;0.5;1
42;protein kinase c;0;1;1;0;0.71;0.5;1
43;pla 2;0;1;1;0;0.71;0.5;1
44;personal health records;0;1;1;0;0.71;0.5;1
45;medical records;0;1;1;0;0.71;0.5;1
46;information storage and retrieval;0;1;1;0;0.71;0.5;1
47;data mining;0;1;1;0;0.71;0.5;1
48;user evaluation;0;1;1;0;0.71;0.5;1
49;usability;0;1;1;0;0.71;0.5;1
50;standardization;0;1;1;0;0.71;0.5;1
51;safety;0;1;1;0;0.71;0.5;1
52;patient safety;0;1;1;0;0.71;0.5;1
53;medication errors;0;1;1;0;0.71;0.5;1
54;chemotherapy regimens;0;1;1;0;0.71;0.5;1
55;chemotherapy;0;1;1;0;0.71;0.5;1
56;publication analysis;0;1;1;0;0.71;0.5;1
57;parathyroid carcinoma;0;1;1;0;0.71;0.5;1
58;natural language processing;0;1;1;0;0.71;0.5;1
59;machine learning;0;1;1;0;0.71;0.5;1
60;species partition format;0;1;1;0;0.71;0.5;1
61;species delimitation programs;0;1;1;0;0.71;0.5;1
62;integrative taxonomy;0;1;1;0;0.71;0.5;1
63;spart;0;1;1;0;0.71;0.5;1
64;literature search;1;0;1;0;0.71;0.5;1
65;neural population;1;0;1;0;0.71;0.5;1
