;lemmas;df_2021;df_2022;total;min;std;mean;max
1;datum;3.8536585365853657;2.9;3.8536585365853657;3.8536585365853657;;3.8536585365853657;3.8536585365853657
2;xml;2.1219512195121952;1.8;2.1219512195121952;2.1219512195121952;;2.1219512195121952;2.1219512195121952
3;result;1.5365853658536586;0.8;1.5365853658536586;1.5365853658536586;;1.5365853658536586;1.5365853658536586
4;analysis;1.3170731707317074;0.6;1.3170731707317074;1.3170731707317074;;1.3170731707317074;1.3170731707317074
5;study;1.0975609756097562;0.6;1.0975609756097562;1.0975609756097562;;1.0975609756097562;1.0975609756097562
6;clinical;0.926829268292683;0.9;0.926829268292683;0.926829268292683;;0.926829268292683;0.926829268292683
7;process;0.9024390243902439;0.3;0.9024390243902439;0.9024390243902439;;0.9024390243902439;0.9024390243902439
8;use;0.8780487804878049;0.9;0.8780487804878049;0.8780487804878049;;0.8780487804878049;0.8780487804878049
9;system;0.8292682926829268;0.5;0.8292682926829268;0.8292682926829268;;0.8292682926829268;0.8292682926829268
10;base;0.7804878048780488;1.2;0.7804878048780488;0.7804878048780488;;0.7804878048780488;0.7804878048780488
11;standard;0.7804878048780488;0.2;0.7804878048780488;0.7804878048780488;;0.7804878048780488;0.7804878048780488
12;model;0.7560975609756098;0.4;0.7560975609756098;0.7560975609756098;;0.7560975609756098;0.7560975609756098
13;include;0.7073170731707317;0.2;0.7073170731707317;0.7073170731707317;;0.7073170731707317;0.7073170731707317
14;metadata;0.6585365853658537;0.1;0.6585365853658537;0.6585365853658537;;0.6585365853658537;0.6585365853658537
15;treatment;0.6585365853658537;0.1;0.6585365853658537;0.6585365853658537;;0.6585365853658537;0.6585365853658537
16;format;0.6341463414634146;1.5;0.6341463414634146;0.6341463414634146;;0.6341463414634146;0.6341463414634146
17;cell;0.5853658536585366;0.0;0.5853658536585366;0.5853658536585366;;0.5853658536585366;0.5853658536585366
18;method;0.5853658536585366;1.2;0.5853658536585366;0.5853658536585366;;0.5853658536585366;0.5853658536585366
19;time;0.5853658536585366;0.6;0.5853658536585366;0.5853658536585366;;0.5853658536585366;0.5853658536585366
20;term;0.5609756097560976;0.5;0.5609756097560976;0.5609756097560976;;0.5609756097560976;0.5609756097560976
21;fhir;0.5609756097560976;0.0;0.5609756097560976;0.5609756097560976;;0.5609756097560976;0.5609756097560976
22;patient;0.5609756097560976;0.1;0.5609756097560976;0.5609756097560976;;0.5609756097560976;0.5609756097560976
23;identify;0.5609756097560976;0.2;0.5609756097560976;0.5609756097560976;;0.5609756097560976;0.5609756097560976
24;file;0.5365853658536586;0.7;0.5365853658536586;0.5365853658536586;;0.5365853658536586;0.5365853658536586
25;scheme;0.5365853658536586;0.0;0.5365853658536586;0.5365853658536586;;0.5365853658536586;0.5365853658536586
26;article;0.5365853658536586;0.0;0.5365853658536586;0.5365853658536586;;0.5365853658536586;0.5365853658536586
27;+;0.4878048780487805;0.0;0.4878048780487805;0.4878048780487805;;0.4878048780487805;0.4878048780487805
28;provide;0.4878048780487805;0.2;0.4878048780487805;0.4878048780487805;;0.4878048780487805;0.4878048780487805
29;research;0.4634146341463415;0.7;0.4634146341463415;0.4634146341463415;;0.4634146341463415;0.4634146341463415
30;control;0.4634146341463415;0.4;0.4634146341463415;0.4634146341463415;;0.4634146341463415;0.4634146341463415
